LSOA11CD,Barriers_2019,Barriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000313,40.221,44.44720020413973,1.0,0,4.226200204139737,10.507446866412414
E01000314,29.239,38.65855785824093,1.0,0,9.419557858240932,32.21573192736048
E01000315,34.64,32.224439556761546,1.0,0,-2.415560443238455,-6.9733269146606665
E01000316,33.719,31.189495057920446,1.0,0,-2.529504942079555,-7.5017199266868975
E01000317,25.353,24.110267970674627,1.0,0,-1.2427320293253743,-4.901715888949529
E01000318,25.899,25.333313751919857,1.0,0,-0.5656862480801443,-2.1842011200438023
E01000319,24.253,21.621832279029874,1.0,0,-2.631167720970126,-10.848834045149573
E01000320,28.257,22.128193361932468,1.0,0,-6.128806638067534,-21.68951636078683
E01000321,25.102,26.43752440889604,1.0,0,1.3355244088960383,5.320390442578432
E01000322,27.666,26.0924118621273,1.0,0,-1.5735881378727008,-5.687805023757323
E01000323,27.802,30.753924259219332,1.0,0,2.951924259219332,10.617668726060472
E01000324,24.585,26.199591931212623,1.0,0,1.6145919312126225,6.567386338062324
E01000325,18.379,11.227183231870605,1.0,0,-7.151816768129397,-38.91298094634853
E01000326,32.998,19.610098694223872,1.0,0,-13.387901305776126,-40.571856796703216
E01000327,19.191,10.782550000542333,1.0,0,-8.408449999457666,-43.81454848344363
E01000328,20.362,13.811163172129312,1.0,0,-6.550836827870686,-32.171873233821266
E01000329,23.933,14.924883033363773,1.0,0,-9.008116966636226,-37.638895945498795
E01000330,24.574,17.34165884856752,1.0,0,-7.2323411514324825,-29.43086657211883
E01000331,36.033,19.588589950255077,1.0,0,-16.444410049744924,-45.6370828122691
E01000332,20.316,16.911725261906245,1.0,0,-3.404274738093754,-16.756619108553625
E01000333,23.342,24.396529307246887,1.0,0,1.054529307246888,4.517733301546088
E01000334,27.128,19.36918302954635,1.0,0,-7.758816970453651,-28.60077031278993
E01000335,50.822,30.4045367957246,1.0,0,-20.417463204275403,-40.174458313870765
E01000336,38.468,28.175029581178855,1.0,0,-10.292970418821149,-26.757227874652042
E01000337,26.767,22.796123606597625,1.0,0,-3.9708763934023743,-14.834969901006367
E01000338,26.9,23.167255823587055,1.0,0,-3.732744176412943,-13.876372403022096
E01000339,16.828,16.84987023247909,1.0,0,0.02187023247909181,0.12996334964993947
